#;Kode;PST;GI/Penghantar;Functloc;ID;SID;Merk;Type;Volt;Phasa;Penempatan;Line;Ket.;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8
1;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A10 DIAMETER#10 500kV;55351416916900000246;1MRB150082R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
2;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A13 DIAMETER#13 500kV;55351416916900000247;1MRB1500821R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
3;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A14 DIAMETER#14 500kV;55351416916900000248;1MRB1500821R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
4;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A8 DIAMETER#8 500kV;55351416916900000254;1MRB1500821R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
5;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A9 DIAMETER#9 500kV;55351416916900000255;1MRB1500821R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
6;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB10 DIAMETER#10 500kV;55351416916900000257;1MRB150082R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
7;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB13 DIAMETER#13 500kV;55351416916900000258;1MRB1500821R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
8;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB7 DIAMETER#7 500kV;55351416916900000263;1MRB150082R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
9;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB8 DIAMETER#8 500kV;55351416916900000264;1MRB150082R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
10;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB9 DIAMETER#9 500kV;55351416916900000265;1MRB150082R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
11;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB14 DIAMETER#14 500kV;55351416916900000270;1MRB150082R1/D;ABB;REB 500;500;RST;-;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
12;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A1 DIAMETER#1 500kV;TO351816916900000001;35614304/03/22;GE;MICOM P14D;500;RST;7A1;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
13;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB1 DIAMETER#1 500kV;TO351816916900000002;35614310/03/22;GE;MICOM P14D;500;RST;7AB1;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
14;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7B1 DIAMETER#1 500kV;TO351816916900000003;35614306/03/22;GE;MICOM P14D;500;RST;7B1;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
15;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A2 DIAMETER#2 500kV;TO351816916900000004;35614305/03/22;GE;MICOM P14D;500;RST;7A2;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
16;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB2 DIAMETER#2 500kV;TO351816916900000005;35614297/03/22;GE;MICOM P14D;500;RST;7AB2;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
